,j,R,RV
2020-07-24,-14.293670193239052,4.142359708646101,52529.74456003762
2020-07-23,-14.293670193239052,3.9979773240821332,52493.360199127506
2020-07-22,-14.293670193239052,3.6098374742529917,52395.54895697057
2020-07-21,-14.293670193239052,1.9206257605907469,51969.86760512768
2020-07-20,-14.293670193239052,3.343058572528025,52328.32067373588
2020-07-17,-14.293670193239052,3.8659651861209925,52460.0931403613
2020-07-16,-14.293670193239052,6.746058074259914,53185.8765481723
2020-07-15,-14.293670193239052,2.5725108739860523,52134.1426537033
2020-07-14,-14.293670193239052,3.1881391336429297,52289.280975136826
2020-07-13,-14.293670193239052,1.8490310706761588,51951.8257432692
2020-07-10,-14.293670193239052,2.3653661138853237,52081.94217415791
2020-07-09,-14.293670193239052,3.1733661667767166,52285.558187486546
2020-07-08,-14.293670193239052,3.5892557058780925,52390.36235134009
2020-07-07,-14.293670193239052,4.744465820684627,52681.47530027134
2020-07-06,-14.293670193239052,4.899425195562373,52720.525062740526
2020-07-03,-14.293670193239052,1.8844315631431785,51960.74666737089
2020-07-02,-14.293670193239052,1.98508229759234,51986.11065245207
2020-07-01,-14.293670193239052,2.1057736540661054,52016.52487428347
2020-06-29,-14.293670193239052,1.202088068207593,51788.79610664712
2020-06-26,-14.293670193239052,0.666548788171122,51653.840208077934
2020-06-25,-14.293670193239052,1.1046849318977081,51764.250516297034
2020-06-24,-14.293670193239052,1.022508468952236,51743.54204763477
2020-06-23,-14.293670193239052,1.0567685861960399,51752.175597180205
2020-06-22,-14.293670193239052,0.9821931142429888,51733.38257824804
2020-06-19,-14.293670193239052,1.3078508482548716,51815.448327219034
2020-06-18,-14.293670193239052,1.128578566758515,51770.27171228195
2020-06-17,-14.293670193239052,0.903091957614433,51713.44908677765
2020-06-16,-14.293670193239052,1.366084431617538,51830.123190226426
2020-06-15,-14.293670193239052,1.6278189831560883,51896.08029721415
2020-06-12,-14.293670193239052,1.5440891809785733,51874.98038706541
2020-06-11,-14.293670193239052,1.3767999062904115,51832.82348984399
2020-06-10,-14.293670193239052,1.1432564217835426,51773.970531748266
2020-06-09,-14.293670193239052,0.9871443707080451,51734.630294877235
2020-06-08,-14.293670193239052,1.17801271415378,51782.72911742556
2020-06-05,-14.293670193239052,1.1216167853161616,51768.51734335848
2020-06-04,-14.293670193239052,1.04359544984993,51748.85596682099
2020-06-03,-14.293670193239052,1.1814693784053094,51783.600196816944
2020-06-02,-14.293670193239052,1.1395653441709697,51773.040380189894
2020-06-01,-14.293670193239052,1.7011472701523003,51914.559025537186
2020-05-29,-14.293670193239052,2.1707686735768332,52032.90361920017
2020-05-28,-14.293670193239052,1.593292243422074,51887.37955880117
2020-05-27,-14.293670193239052,1.1512354708963952,51775.9812521247
2020-05-26,-14.293670193239052,0.965114002279112,51729.07864203314
2020-05-25,-14.293670193239052,1.3316709879178,51821.45100241409
2020-05-22,-14.293670193239052,1.4647740117068118,51854.99296440893
2020-05-21,-14.293670193239052,0.8710362544365509,51705.37104957682
2020-05-20,-14.293670193239052,0.7881832736070632,51684.49209840779
2020-05-19,-14.293670193239052,0.702537679182791,51662.909408612875
2020-05-18,-14.293670193239052,1.2061575963539837,51789.82162774001
2020-05-15,-14.293670193239052,1.0748904462401756,51756.742305911335
2020-05-14,-14.293670193239052,1.0948938372069557,51761.78316043496
2020-05-13,-14.293670193239052,0.9772490901540181,51732.13668417762
2020-05-12,-14.293670193239052,1.0327060358611266,51746.111834495816
2020-05-11,-14.293670193239052,0.9185599055675395,51717.34700966183
2020-05-08,-14.293670193239052,0.993908494566257,51736.3348540895
2020-05-07,-14.293670193239052,0.7416619166466,51672.76871645375
2020-05-06,-14.293670193239052,1.8727479242723823,51957.80239037545
2020-05-05,-14.293670193239052,1.0715009912079192,51755.88816324321
2020-05-04,-14.293670193239052,1.231096413060479,51796.106209550046
2020-05-01,-14.293670193239052,1.824357318395204,51945.6079576944
2020-04-29,-14.293670193239052,0.9244795337294492,51718.83875595863
2020-04-28,-14.293670193239052,1.4026601630925803,51839.34027455814
2020-04-27,-14.293670193239052,1.0117761514029076,51740.83750361234
2020-04-24,-14.293670193239052,0.9010451661860114,51712.93329533769
2020-04-23,-14.293670193239052,1.1832338339366686,51784.04483961085
2020-04-22,-14.293670193239052,1.0023547616071802,51738.46331338382
2020-04-21,-14.293670193239052,1.2976607876095325,51812.88043193641
2020-04-20,-14.293670193239052,1.093675825613704,51761.47622151346
2020-04-17,-14.293670193239052,1.6633270723729818,51905.02833569681
2020-04-16,-14.293670193239052,1.0790439296050893,51757.78898371929
2020-04-15,-14.293670193239052,1.050888720812777,51750.69387110363
2020-04-14,-14.293670193239052,1.000100981557201,51737.89536081123
2020-04-13,-14.293670193239052,1.2058546817146394,51789.7452932509
2020-04-10,-14.293670193239052,1.0275593628052435,51744.814872885734
2020-04-09,-14.293670193239052,1.7820421365621266,51934.94453187247
2020-04-08,-14.293670193239052,1.7724711059220974,51932.53263215118
2020-04-07,-14.293670193239052,3.0178313520913416,52246.36341418583
2020-04-06,-14.293670193239052,2.311166456315259,52068.283860450254
2020-04-03,-14.293670193239052,2.5591042568721103,52130.76418619058
2020-04-02,-14.293670193239052,3.9476721306348654,52480.683290378794
2020-04-01,-14.293670193239052,3.1261026100224254,52273.64777118446
2020-03-30,-14.293670193239052,4.48732167849211,52616.67497643882
2020-03-27,-14.293670193239052,5.354842662388308,52835.29026438066
2020-03-26,-14.293670193239052,5.262680980437826,52812.06552052914
2020-03-25,-14.293670193239052,7.76973164392265,53443.84228772732
2020-03-24,-14.293670193239052,7.235713536778707,53309.26972472705
2020-03-23,-14.293670193239052,16.963746452787102,55760.734019561154
2020-03-20,-14.293670193239052,11.21745360058002,54312.668220804975
2020-03-19,-14.293670193239052,20.978790409794385,56772.525096727
2020-03-18,-14.293670193239052,16.185008930590108,55564.492163967516
2020-03-17,-14.293670193239052,24.20673930163834,57585.96821747167
