,open,high,low,last,close,volume,date,symbol,exchange
79,4.61,4.65,4.59,4.635,4.58,34659.0,2020-11-24T19:00:00+0000,MUFG,IEXG
80,91.23,91.49,90.045,90.375,89.79,29883.0,2020-11-24T19:00:00+0000,SNE,IEXG
81,144.0,144.49,143.24,143.93,143.26,8754.0,2020-11-24T19:00:00+0000,TM,IEXG
82,18.71,18.97,18.605,18.84,18.69,12665.0,2020-11-24T18:00:00+0000,CAJ,IEXG
83,29.53,29.79,29.505,29.745,29.11,8791.0,2020-11-24T18:00:00+0000,HMC,IEXG
84,4.61,4.65,4.59,4.635,4.58,29146.0,2020-11-24T18:00:00+0000,MUFG,IEXG
85,144.0,144.49,143.24,143.975,143.26,7696.0,2020-11-24T18:00:00+0000,TM,IEXG
86,144.0,144.49,143.24,144.27,143.26,6282.0,2020-11-24T17:00:00+0000,TM,IEXG
87,18.71,18.97,18.605,18.91,18.69,9065.0,2020-11-24T16:00:00+0000,CAJ,IEXG
88,2.785,2.805,2.765,2.785,2.79,506.0,2020-11-24T16:00:00+0000,MFG,IEXG
89,4.61,4.63,4.59,4.605,4.58,16419.0,2020-11-24T16:00:00+0000,MUFG,IEXG
90,4.61,4.63,4.59,4.605,4.58,2915.0,2020-11-24T15:00:00+0000,MUFG,IEXG
91,91.23,91.49,90.3,90.3,89.79,6041.0,2020-11-24T15:00:00+0000,SNE,IEXG
92,18.68,18.79,18.64,18.69,18.49,465864.0,2020-11-24T02:00:00+0000,CAJ,IEXG
93,12.9,12.9,12.9,12.9,12.9,0.0,2020-11-24T02:00:00+0000,CHUEF,IEXG
94,29.2,29.33,29.065,29.11,28.78,566114.0,2020-11-24T02:00:00+0000,HMC,IEXG
95,77.045,77.89,76.05,77.35,76.84,23431.0,2020-11-24T02:00:00+0000,HTHIY,IEXG
96,59.24,60.83,59.24,59.975,59.6,3610.0,2020-11-24T02:00:00+0000,MARUY,IEXG
97,2.79,2.81,2.78,2.79,2.77,200836.0,2020-11-24T02:00:00+0000,MFG,IEXG
98,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-24T02:00:00+0000,TYHOF,IEXG
99,4.61,4.62,4.55,4.58,4.54,1439005.0,2020-11-24T02:00:00+0000,MUFG,IEXG
100,10.62,10.89,10.62,10.695,10.605,259558.0,2020-11-24T02:00:00+0000,PCRFY,IEXG
101,32.75,33.25,32.59,32.845,33.13,118121.0,2020-11-24T02:00:00+0000,SFTBY,IEXG
102,6.2,6.2,6.14,6.16,6.14,1341890.0,2020-11-24T02:00:00+0000,SMFG,IEXG
103,12.26,12.26,12.26,12.26,11.69,100.0,2020-11-24T02:00:00+0000,SMTOF,IEXG
104,90.1,90.81,89.4737,89.79,89.98,742768.0,2020-11-24T02:00:00+0000,SNE,IEXG
105,78.629,78.82,77.84,78.61,77.935,22879.0,2020-11-24T02:00:00+0000,TOELY,IEXG
106,143.75,143.96,143.22,143.26,142.13,238025.0,2020-11-24T02:00:00+0000,TM,IEXG
107,6.195,6.2,6.145,6.18,6.14,25202.0,2020-11-23T20:00:00+0000,SMFG,IEXG
